kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
3634169,6192.0,1.322,288.01553,38.709862,12.913,133.9227,0.2957,0.65,2.9590637,28.81,CANDIDATE
3655326,5751.0,1.626,293.92529,38.738979,14.213,140.655427,0.988,88.56,15.066491533,6.2852,FALSE POSITIVE
3656322,5269.0,2.183,294.16028,38.767429,13.061,132.53923,0.788,49.38,1.831829703,7.289,FALSE POSITIVE
3663494,5955.0,0.91,295.73334,38.792011,15.221,133.9134,0.286,1.16,5.11683678,3.119,CANDIDATE
4949027,5966.0,0.961,297.88528,40.097321,15.14,132.5257,0.0834,0.94,1.06100327,1.675,FALSE POSITIVE
4949214,6484.0,1.153,297.93069,40.014961,14.351,132.076361,1.242,49.63,0.922030594,4.367,FALSE POSITIVE
4950557,6300.0,1.862,298.21442,40.0732,12.526,149.4927345,0.781,112.24,24.714790706,5.06776,FALSE POSITIVE
5000179,,,288.35828,40.17466,13.758,131.88496,,,3.6329347,2.3,FALSE POSITIVE
5018787,5370.0,0.671,293.99124,40.18964,15.428,132.0195301,0.917,12.44,0.607191908,1.30166,FALSE POSITIVE
8345473,4507.0,12.787,282.18466,44.359459,11.946,133.6127,0.268,19.94,2.2502073,2.203,FALSE POSITIVE
5597361,5931.0,1.087,283.13373,40.852421,14.604,135.4545,0.678,1.62,17.9925973,2.762,CANDIDATE
5598639,5143.0,0.776,283.77744,40.842037,10.201,131.7459799,0.961,41.58,0.648775795,4.34648,FALSE POSITIVE
5610698,6567.0,1.636,288.92068,40.881302,13.894,132.892463,0.877,93.1,4.132521615,12.4949,FALSE POSITIVE
5617510,6865.0,2.211,291.04001,40.84993,11.319,187.379,0.6894,2.39,74.371666,12.59,CANDIDATE
5621294,8615.0,3.003,292.21927,40.89333,13.613,131.8411582,0.54,205.64,0.938905082,5.00453,FALSE POSITIVE
6594972,5955.0,0.991,288.29306,42.057369,14.342,132.9864665,0.275,67.76,10.819169459,5.50262,FALSE POSITIVE
6595662,6038.0,1.076,288.53311,42.047619,14.746,132.598382,0.359,48.86,2.680514453,3.21178,FALSE POSITIVE
6603765,5103.0,0.674,291.09485,42.002918,15.455,139.8244,0.805,1.11,19.164111,2.773,CANDIDATE
6606669,4555.0,15.63,291.99316,42.049259,12.026,132.4088,0.035,18.65,0.970085646,1.129,FALSE POSITIVE
6610219,6143.0,1.448,293.02563,42.001381,13.203,801.4552005,0.606,97.12,11.300987626,10.5199,FALSE POSITIVE
6610433,,,293.08749,42.024651,10.206,131.87056,,,0.92098747,2.04,FALSE POSITIVE
7368103,8051.0,2.347,293.41541,42.917259,13.419,132.354186,0.968,128.15,2.182515126,6.8413,FALSE POSITIVE
7369523,6156.0,0.932,293.8414,42.948139,14.905,133.3208183,0.634,61.52,2.659418888,6.98414,FALSE POSITIVE
7381580,5442.0,0.747,296.91513,42.905079,15.087,144.0259,0.1593,0.88,13.5164708,2.628,CANDIDATE
7385387,5438.0,0.82,297.7178,42.989311,15.876,133.13661,0.109,0.9,1.65546056,3.52,FALSE POSITIVE
7385478,6725.0,2.171,297.74109,42.99609,11.471,133.126106,0.836,125.25,1.655472351,5.09197,FALSE POSITIVE
8243263,6656.0,1.232,295.22525,44.112679,12.984,132.0750778,1.026,40.79,1.759276227,3.19585,FALSE POSITIVE
8244295,4856.0,0.728,295.54388,44.12537,15.924,132.1066,0.378,0.74,1.09206792,1.646,FALSE POSITIVE
8256882,5598.0,1.594,298.88669,44.11586,14.106,133.01849,0.579,1.35,2.41194057,1.787,CANDIDATE
8265990,6002.0,1.629,301.36261,44.173409,13.417,132.1472,0.0723,0.83,0.77996263,3.369,FALSE POSITIVE
8283875,4336.0,0.59,284.77267,44.249371,15.695,132.06684,0.16,0.77,0.800263219,0.729,CANDIDATE
9119405,5786.0,3.478,300.89032,45.403431,13.729,139.0920079,0.742,213.31,18.646323091,8.853,FALSE POSITIVE
9150870,5610.0,0.858,290.30801,45.598412,15.632,374.0092,0.3151,2.27,441.17369,14.82,CANDIDATE
9156957,3823.0,0.519,292.78583,45.585789,15.826,133.1255,0.1985,0.62,3.6673005,3.373,FALSE POSITIVE
9163674,6413.0,1.91,295.28845,45.518337,13.833,131.6393074,0.694,107.13,0.773144492,4.05643,FALSE POSITIVE
9172506,6225.0,1.646,297.96613,45.545792,12.009,149.90838,0.658,51.5,50.440285363,12.2001,FALSE POSITIVE
9179531,5806.0,0.975,299.92822,45.595081,15.091,132.498277,0.523,40.58,3.255385289,5.9498,FALSE POSITIVE
9963639,9763.0,2.045,296.69196,46.869171,11.364,131.5282,0.053,0.81,7.4185369,1.451,FALSE POSITIVE
9965691,6407.0,2.191,297.32681,46.845211,13.102,133.03069,1.206,56.23,15.68434493,44.463,FALSE POSITIVE
10000490,6706.0,1.924,286.556,46.95734,11.244,132.453975,1.093,98.13,1.400991827,4.8798,FALSE POSITIVE
10002049,6060.0,0.953,287.46475,46.96841,15.362,144.8407,0.247,1.42,19.2532128,1.674,CANDIDATE
10014702,6045.0,0.955,293.12991,46.921768,15.13,132.0803,0.531,0.82,1.34062901,3.076,FALSE POSITIVE
11027270,7163.0,2.177,290.64642,48.597092,11.299,132.00331,0.9385,2.41,0.533628226,5.772,FALSE POSITIVE
11027722,6429.0,0.942,290.90582,48.531811,14.291,132.138369,1.263,30.37,0.678137665,1.00718,FALSE POSITIVE
11068630,5808.0,0.963,282.55869,48.63097,15.591,131.90509,0.276,1.39,1.817079849,0.889,CANDIDATE
11071207,6698.0,1.485,284.41779,48.680908,13.831,138.6541935,0.671,95.98,8.04963472,6.00488,FALSE POSITIVE
11124509,5615.0,0.893,284.40344,48.70808,14.735,135.730111,1.277,36.15,4.446459958,2.558,FALSE POSITIVE
12454800,6210.0,1.054,288.29788,51.326519,13.853,143.2743,0.2093,0.92,23.3787733,6.76,CANDIDATE
12458817,5191.0,0.65,290.54504,51.32362,15.37,140.82,0.9711,4.11,15.09984259,0.222,CANDIDATE
12506342,4551.0,0.56,289.04477,51.415379,15.715,132.56346,0.262,1.0,1.22775105,1.602,FALSE POSITIVE
12519942,5061.0,0.814,296.28311,51.404362,14.813,134.98686,0.0481,1.3,15.3416245,2.126,CANDIDATE
12557713,4705.0,0.552,291.08231,51.558361,14.853,132.498654,0.898,16.79,7.214721393,2.36464,FALSE POSITIVE
9730163,3327.0,0.189,298.73611,46.498634,17.475,134.19046,0.461,2.44,8.15275885,1.746,CONFIRMED
2437112,4808.0,0.715,290.20361,37.774342,16.153,132.8032,0.144,0.81,3.18740907,6.19,FALSE POSITIVE
8719324,,,301.11429,44.825802,11.614,139.5844258,,,10.23273611,1.55,FALSE POSITIVE
